ERR599017.17_00212	ERR599017.17_00212
DRR092706.1_00528	ERR599236.12_00242
DRR092706.1_00529	DRR092706.1_00529
DRR092706.1_00529	ERR1726833.2_00283
DRR092706.1_00529	ERR1726875.19_00063
DRR092706.1_00529	ERR4013358.13_00279
DRR092706.1_00529	ERR519454.28_01127
DRR092706.1_00529	ERR519458.6_00761
DRR092706.1_00529	ERR519462.64_00742
DRR092706.1_00529	ERR594335.69_00184
DRR092706.1_00529	ERR598996.53_00426
DRR092706.1_00529	ERR599017.17_00785
DRR092706.1_00529	ERR599046.13_00031
DRR092706.1_00529	ERR599056.13_00790
DRR092706.1_00529	ERR599103.13_00528
DRR092706.1_00529	ERR599170.2_00142
DRR092706.1_00529	ERR599174.6_00529
DRR092706.1_00529	ERR599236.12_00243
DRR092706.1_00529	ERR599240.6_00548
DRR092706.1_00530	DRR092706.1_00530
DRR092706.1_00530	ERR1726833.2_00284
DRR092706.1_00530	ERR1726875.19_00062
DRR092706.1_00530	ERR2098377.12_00503
DRR092706.1_00530	ERR4013358.13_00278
DRR092706.1_00530	ERR519454.28_01128
DRR092706.1_00530	ERR519458.6_00760
DRR092706.1_00530	ERR519462.64_00743
DRR092706.1_00530	ERR594335.69_00183
DRR092706.1_00530	ERR598996.53_00427
DRR092706.1_00530	ERR599017.17_00786
DRR092706.1_00530	ERR599046.13_00032
DRR092706.1_00530	ERR599056.13_00789
DRR092706.1_00530	ERR599103.13_00527
DRR092706.1_00530	ERR599170.2_00143
DRR092706.1_00530	ERR599174.6_00528
DRR092706.1_00530	ERR599236.12_00244
DRR092706.1_00530	ERR599240.6_00547
DRR092706.1_00532	DRR092706.1_00532
DRR092706.1_00532	ERR1726833.2_00541
DRR092706.1_00532	ERR1726875.19_00060
DRR092706.1_00532	ERR2098377.12_00501
DRR092706.1_00532	ERR4013358.13_00276
DRR092706.1_00532	ERR519454.28_01130
DRR092706.1_00532	ERR519458.6_00758
DRR092706.1_00532	ERR519462.64_00745
DRR092706.1_00532	ERR594335.69_00181
DRR092706.1_00532	ERR599056.13_00787
DRR092706.1_00532	ERR599170.2_00145
DRR092706.1_00532	ERR599236.12_00246
DRR092706.1_00533	DRR092706.1_00533
DRR092706.1_00534	DRR092706.1_00534
DRR092706.1_00534	ERR1726829.2_00146
DRR092706.1_00534	ERR1726833.2_00390
DRR092706.1_00534	ERR4013358.13_00325
DRR092706.1_00534	ERR519454.28_00881
DRR092706.1_00534	ERR519458.6_00261
DRR092706.1_00534	ERR519462.64_01231
DRR092706.1_00534	ERR594335.69_00567
DRR092706.1_00534	ERR599046.13_00521
DRR092706.1_00534	ERR599056.13_00454
DRR092706.1_00534	ERR599170.2_00367
DRR092706.1_00534	ERR599174.6_00515
DRR092706.1_00534	ERR599236.12_00033
DRR092706.1_00535	DRR092706.1_00535
DRR092706.1_00535	ERR1726829.2_00147
DRR092706.1_00535	ERR1726833.2_00389
DRR092706.1_00535	ERR4013358.13_00326
DRR092706.1_00535	ERR519454.28_00882
DRR092706.1_00535	ERR519458.6_00262
DRR092706.1_00535	ERR519462.64_01232
DRR092706.1_00535	ERR594335.69_00566
DRR092706.1_00535	ERR599046.13_00520
DRR092706.1_00535	ERR599056.13_00453
DRR092706.1_00535	ERR599170.2_00366
DRR092706.1_00535	ERR599174.6_00514
DRR092706.1_00535	ERR599236.12_00032
DRR092706.1_00536	DRR092706.1_00536
DRR092706.1_00536	ERR1726829.2_00148
DRR092706.1_00536	ERR1726833.2_00388
DRR092706.1_00536	ERR4013358.13_00327
DRR092706.1_00536	ERR519454.28_00883
DRR092706.1_00536	ERR519458.6_00263
DRR092706.1_00536	ERR519462.64_01233
DRR092706.1_00536	ERR594335.69_00565
DRR092706.1_00536	ERR599017.17_00693
DRR092706.1_00536	ERR599046.13_00519
DRR092706.1_00536	ERR599056.13_00452
DRR092706.1_00536	ERR599170.2_00365
DRR092706.1_00536	ERR599174.6_00813
DRR092706.1_00536	ERR599236.12_00031
DRR092706.1_00537	DRR092706.1_00537
DRR092706.1_00537	ERR1726829.2_00149
DRR092706.1_00537	ERR1726833.2_00387
DRR092706.1_00537	ERR2098377.12_00387
DRR092706.1_00537	ERR4013358.13_00328
DRR092706.1_00537	ERR519454.28_00884
DRR092706.1_00537	ERR519458.6_00264
DRR092706.1_00537	ERR519462.64_01234
DRR092706.1_00537	ERR594335.69_00564
DRR092706.1_00537	ERR599017.17_00694
DRR092706.1_00537	ERR599046.13_00518
DRR092706.1_00537	ERR599056.13_00451
DRR092706.1_00537	ERR599170.2_00364
DRR092706.1_00537	ERR599174.6_00814
DRR092706.1_00537	ERR599236.12_00030
DRR092706.1_00538	DRR092706.1_00538
DRR092706.1_00538	ERR1726829.2_00150
DRR092706.1_00538	ERR1726833.2_00386
DRR092706.1_00538	ERR2098377.12_00388
DRR092706.1_00538	ERR4013358.13_00329
DRR092706.1_00538	ERR519454.28_00885
DRR092706.1_00538	ERR519458.6_00265
DRR092706.1_00538	ERR519462.64_01235
DRR092706.1_00538	ERR599017.17_00695
DRR092706.1_00538	ERR599046.13_00517
DRR092706.1_00538	ERR599056.13_00450
DRR092706.1_00538	ERR599170.2_00363
DRR092706.1_00538	ERR599174.6_00815
DRR092706.1_00541	DRR092706.1_00541
DRR092706.1_00541	ERR1726701.24_00467
DRR092706.1_00541	ERR599046.13_00756
DRR092706.1_00541	ERR599240.6_00366
DRR092706.1_00543	DRR092706.1_00543
DRR092706.1_00545	DRR092706.1_00545
DRR092706.1_00546	DRR092706.1_00546
DRR092706.1_00547	DRR092706.1_00547
DRR092706.1_00547	ERR1726701.24_00082
DRR092706.1_00547	ERR1726829.2_00269
DRR092706.1_00547	ERR1726833.2_00659
DRR092706.1_00547	ERR4013358.13_00171
DRR092706.1_00547	ERR519454.28_00042
DRR092706.1_00547	ERR519458.6_01190
DRR092706.1_00547	ERR519462.64_01086
DRR092706.1_00547	ERR594335.69_00136
DRR092706.1_00547	ERR598996.53_00221
DRR092706.1_00547	ERR599017.17_00555
DRR092706.1_00547	ERR599046.13_00746
DRR092706.1_00547	ERR599056.13_00073
DRR092706.1_00547	ERR599103.13_00491
DRR092706.1_00547	ERR599174.6_00591
DRR092706.1_00547	ERR599236.12_00816
DRR092706.1_00547	ERR599240.6_00136
DRR092706.1_00549	DRR092706.1_00549
DRR092706.1_00549	ERR1726701.24_00080
DRR092706.1_00549	ERR1726833.2_00657
DRR092706.1_00549	ERR2098377.12_00035
DRR092706.1_00549	ERR4013358.13_00027
DRR092706.1_00549	ERR4013358.13_00663
DRR092706.1_00549	ERR519454.28_00040
DRR092706.1_00549	ERR519458.6_01192
DRR092706.1_00549	ERR519462.64_01088
DRR092706.1_00549	ERR594335.69_00138
DRR092706.1_00549	ERR598996.53_00223
DRR092706.1_00549	ERR599017.17_00557
DRR092706.1_00549	ERR599046.13_00744
DRR092706.1_00549	ERR599056.13_00071
DRR092706.1_00549	ERR599103.13_00489
DRR092706.1_00549	ERR599170.2_00089
DRR092706.1_00549	ERR599174.6_00589
DRR092706.1_00549	ERR599236.12_00814
DRR092706.1_00549	ERR599240.6_00134
DRR092706.1_00550	DRR092706.1_00550
DRR092706.1_00550	ERR1726701.24_00079
DRR092706.1_00550	ERR1726829.2_00232
DRR092706.1_00550	ERR1726833.2_00656
DRR092706.1_00550	ERR2098377.12_00034
DRR092706.1_00550	ERR4013358.13_00028
DRR092706.1_00550	ERR519454.28_00039
DRR092706.1_00550	ERR519458.6_01193
DRR092706.1_00550	ERR519462.64_01089
DRR092706.1_00550	ERR594335.69_00139
DRR092706.1_00550	ERR599017.17_00558
DRR092706.1_00550	ERR599046.13_00743
DRR092706.1_00550	ERR599056.13_00070
DRR092706.1_00550	ERR599103.13_00488
DRR092706.1_00550	ERR599170.2_00088
DRR092706.1_00550	ERR599174.6_00588
DRR092706.1_00550	ERR599236.12_00813
DRR092706.1_00550	ERR599240.6_00133
DRR092706.1_00551	DRR092706.1_00551
DRR092706.1_00551	ERR1726701.24_00078
DRR092706.1_00551	ERR1726833.2_00655
DRR092706.1_00551	ERR2098377.12_00033
DRR092706.1_00551	ERR519454.28_00038
DRR092706.1_00551	ERR519458.6_01194
DRR092706.1_00551	ERR519462.64_01090
DRR092706.1_00551	ERR594335.69_00140
DRR092706.1_00551	ERR599017.17_00559
DRR092706.1_00551	ERR599046.13_00742
DRR092706.1_00551	ERR599056.13_00069
DRR092706.1_00551	ERR599103.13_00487
DRR092706.1_00551	ERR599170.2_00240
DRR092706.1_00551	ERR599174.6_00587
DRR092706.1_00551	ERR599236.12_00812
DRR092706.1_00551	ERR599240.6_00132
DRR092706.1_00553	DRR092706.1_00553
DRR092706.1_00554	DRR092706.1_00554
DRR092706.1_00555	DRR092706.1_00555
DRR092706.1_00555	ERR1726829.2_00099
DRR092706.1_00555	ERR1726833.2_00116
DRR092706.1_00555	ERR519454.28_00425
DRR092706.1_00555	ERR519458.6_00409
DRR092706.1_00555	ERR519462.64_00988
DRR092706.1_00555	ERR598996.53_00027
DRR092706.1_00555	ERR599017.17_00227
DRR092706.1_00555	ERR599046.13_00427
DRR092706.1_00555	ERR599056.13_00682
DRR092706.1_00555	ERR599103.13_00558
DRR092706.1_00555	ERR599170.2_00653
DRR092706.1_00555	ERR599174.6_00425
DRR092706.1_00555	ERR599236.12_00534
DRR092706.1_00558	DRR092706.1_00558
DRR092706.1_00558	ERR1726833.2_00119
DRR092706.1_00558	ERR1726875.19_00270
DRR092706.1_00558	ERR2098377.12_00552
DRR092706.1_00558	ERR519454.28_00428
DRR092706.1_00558	ERR519458.6_00406
DRR092706.1_00558	ERR519462.64_00991
DRR092706.1_00558	ERR599046.13_00716
DRR092706.1_00558	ERR599056.13_00679
DRR092706.1_00558	ERR599170.2_00656
DRR092706.1_00558	ERR599174.6_00422
DRR092706.1_00559	DRR092706.1_00559
DRR092706.1_00559	ERR1726833.2_00120
DRR092706.1_00559	ERR1726875.19_00269
DRR092706.1_00559	ERR2098377.12_00553
DRR092706.1_00559	ERR519454.28_00429
DRR092706.1_00559	ERR519458.6_00405
DRR092706.1_00559	ERR519462.64_00992
DRR092706.1_00559	ERR599046.13_00717
DRR092706.1_00559	ERR599056.13_00678
DRR092706.1_00559	ERR599174.6_00421
DRR092706.1_00560	DRR092706.1_00560
DRR092706.1_00560	ERR2098377.12_00244
DRR092706.1_00560	ERR4013358.13_00205
DRR092706.1_00560	ERR4013358.13_00536
DRR092706.1_00560	ERR519454.28_00833
DRR092706.1_00560	ERR519458.6_00113
DRR092706.1_00560	ERR519462.64_00282
DRR092706.1_00560	ERR598996.53_00266
DRR092706.1_00560	ERR599056.13_00322
DRR092706.1_00560	ERR599170.2_00213
DRR092706.1_00560	ERR599240.6_00165
DRR092706.1_00561	DRR092706.1_00561
DRR092706.1_00561	ERR2098377.12_00243
DRR092706.1_00561	ERR4013358.13_00204
DRR092706.1_00561	ERR4013358.13_00535
DRR092706.1_00561	ERR519454.28_00832
DRR092706.1_00561	ERR519458.6_00112
DRR092706.1_00561	ERR519462.64_00283
DRR092706.1_00561	ERR599170.2_00214
DRR092706.1_00561	ERR599236.12_00018
DRR092706.1_00561	ERR599240.6_00166
DRR092706.1_00562	DRR092706.1_00562
DRR092706.1_00562	ERR519462.64_00284
DRR092706.1_00562	ERR599174.6_00326
DRR092706.1_00562	ERR599236.12_00019
DRR092706.1_00562	ERR599240.6_00167
DRR092706.1_00564	DRR092706.1_00564
DRR092706.1_00564	ERR4013358.13_00532
DRR092706.1_00564	ERR519454.28_00549
DRR092706.1_00564	ERR519458.6_00259
DRR092706.1_00564	ERR519462.64_00286
DRR092706.1_00564	ERR594335.69_00535
DRR092706.1_00564	ERR599046.13_00038
DRR092706.1_00564	ERR599174.6_00328
DRR092706.1_00564	ERR599240.6_00179
DRR092706.1_00565	DRR092706.1_00565
DRR092706.1_00565	ERR1726875.19_00329
DRR092706.1_00565	ERR2098377.12_00356
DRR092706.1_00565	ERR4013358.13_00531
DRR092706.1_00565	ERR519454.28_00548
DRR092706.1_00565	ERR519458.6_00258
DRR092706.1_00565	ERR519462.64_00287
DRR092706.1_00565	ERR599046.13_00037
DRR092706.1_00565	ERR599170.2_00661
DRR092706.1_00565	ERR599174.6_00329
DRR092706.1_00565	ERR599240.6_00178
DRR092706.1_00567	DRR092706.1_00567
DRR092706.1_00567	ERR1726875.19_00331
DRR092706.1_00567	ERR2098377.12_00354
DRR092706.1_00567	ERR4013358.13_00529
DRR092706.1_00567	ERR519454.28_00546
DRR092706.1_00567	ERR519458.6_00256
DRR092706.1_00567	ERR519462.64_00289
DRR092706.1_00567	ERR599046.13_00035
DRR092706.1_00567	ERR599170.2_00663
DRR092706.1_00567	ERR599174.6_00331
DRR092706.1_00567	ERR599240.6_00176
DRR092706.1_00568	DRR092706.1_00568
DRR092706.1_00568	ERR1726875.19_00332
DRR092706.1_00568	ERR2098377.12_00353
DRR092706.1_00568	ERR4013358.13_00528
DRR092706.1_00568	ERR519454.28_00545
DRR092706.1_00568	ERR519458.6_00255
DRR092706.1_00568	ERR519462.64_00290
DRR092706.1_00568	ERR599046.13_00034
DRR092706.1_00568	ERR599170.2_00664
DRR092706.1_00568	ERR599174.6_00332
DRR092706.1_00568	ERR599240.6_00175
DRR092706.1_00569	DRR092706.1_00569
DRR092706.1_00569	ERR1726875.19_00333
DRR092706.1_00569	ERR2098377.12_00352
DRR092706.1_00569	ERR4013358.13_00527
DRR092706.1_00569	ERR519454.28_00544
DRR092706.1_00569	ERR519458.6_00254
DRR092706.1_00569	ERR519462.64_00291
DRR092706.1_00569	ERR598996.53_00297
DRR092706.1_00569	ERR599046.13_00132
DRR092706.1_00569	ERR599170.2_00665
DRR092706.1_00569	ERR599174.6_00333
DRR092706.1_00569	ERR599236.12_00524
DRR092706.1_00569	ERR599240.6_00137
DRR092706.1_00570	DRR092706.1_00570
DRR092706.1_00571	DRR092706.1_00571
DRR092706.1_00571	ERR1726701.24_00042
DRR092706.1_00571	ERR1726829.2_00245
DRR092706.1_00571	ERR1726875.19_00046
DRR092706.1_00571	ERR2098377.12_00397
DRR092706.1_00571	ERR4013358.13_00291
DRR092706.1_00571	ERR519454.28_01115
DRR092706.1_00571	ERR519458.6_00773
DRR092706.1_00571	ERR519462.64_00730
DRR092706.1_00571	ERR594335.69_00112
DRR092706.1_00571	ERR598996.53_00414
DRR092706.1_00571	ERR599017.17_00720
DRR092706.1_00571	ERR599046.13_00019
DRR092706.1_00571	ERR599056.13_00696
DRR092706.1_00571	ERR599103.13_00159
DRR092706.1_00571	ERR599170.2_00501
DRR092706.1_00571	ERR599174.6_00469
DRR092706.1_00571	ERR599236.12_00231
DRR092706.1_00571	ERR599240.6_00116
DRR092706.1_00572	DRR092706.1_00572
DRR092706.1_00572	ERR1726701.24_00041
DRR092706.1_00572	ERR1726829.2_00246
DRR092706.1_00572	ERR1726833.2_00437
DRR092706.1_00572	ERR519454.28_01114
DRR092706.1_00572	ERR519458.6_00774
DRR092706.1_00572	ERR519462.64_00729
DRR092706.1_00572	ERR599017.17_00719
DRR092706.1_00572	ERR599046.13_00018
DRR092706.1_00572	ERR599056.13_00697
DRR092706.1_00572	ERR599170.2_00500
DRR092706.1_00572	ERR599174.6_00470
DRR092706.1_00572	ERR599240.6_00117
DRR092706.1_00573	DRR092706.1_00573
DRR092706.1_00573	ERR1726701.24_00040
DRR092706.1_00573	ERR1726829.2_00247
DRR092706.1_00573	ERR1726833.2_00436
DRR092706.1_00573	ERR2098377.12_00006
DRR092706.1_00573	ERR4013358.13_00109
DRR092706.1_00573	ERR519454.28_01113
DRR092706.1_00573	ERR519458.6_00775
DRR092706.1_00573	ERR519462.64_00728
DRR092706.1_00573	ERR599017.17_00718
DRR092706.1_00573	ERR599046.13_00017
DRR092706.1_00573	ERR599056.13_00698
DRR092706.1_00573	ERR599103.13_00678
DRR092706.1_00573	ERR599170.2_00499
DRR092706.1_00573	ERR599174.6_00471
DRR092706.1_00573	ERR599240.6_00118
DRR092706.1_00575	DRR092706.1_00575
DRR092706.1_00575	ERR1726829.2_00574
DRR092706.1_00575	ERR1726833.2_00295
DRR092706.1_00575	ERR2098377.12_00004
DRR092706.1_00575	ERR4013358.13_01070
DRR092706.1_00575	ERR519454.28_01111
DRR092706.1_00575	ERR519458.6_00632
DRR092706.1_00575	ERR519462.64_00726
DRR092706.1_00575	ERR594335.69_00320
DRR092706.1_00575	ERR599017.17_00545
DRR092706.1_00575	ERR599056.13_00700
DRR092706.1_00575	ERR599103.13_00676
DRR092706.1_00575	ERR599236.12_00712
DRR092706.1_00576	DRR092706.1_00576
DRR092706.1_00577	DRR092706.1_00577
DRR092706.1_00578	DRR092706.1_00578
DRR092706.1_00578	ERR1726875.19_00348
DRR092706.1_00578	ERR4013358.13_00576
DRR092706.1_00578	ERR519454.28_01167
DRR092706.1_00578	ERR519458.6_00827
DRR092706.1_00578	ERR519462.64_00805
DRR092706.1_00578	ERR599046.13_00810
DRR092706.1_00580	DRR092706.1_00580
DRR092706.1_00580	ERR1726829.2_00172
DRR092706.1_00580	ERR1726833.2_00525
DRR092706.1_00580	ERR4013358.13_00557
DRR092706.1_00580	ERR519458.6_00057
DRR092706.1_00580	ERR519462.64_01213
DRR092706.1_00580	ERR594335.69_00585
DRR092706.1_00580	ERR598996.53_00320
DRR092706.1_00580	ERR599017.17_00817
DRR092706.1_00580	ERR599046.13_00223
DRR092706.1_00580	ERR599056.13_00223
DRR092706.1_00580	ERR599103.13_00276
DRR092706.1_00580	ERR599174.6_00485
DRR092706.1_00580	ERR599236.12_00016
DRR092706.1_00580	ERR599240.6_00557
DRR092706.1_00581	DRR092706.1_00581
DRR092706.1_00581	ERR1726829.2_00173
DRR092706.1_00581	ERR4013358.13_00558
DRR092706.1_00581	ERR519458.6_00058
DRR092706.1_00581	ERR519462.64_01212
DRR092706.1_00581	ERR594335.69_00586
DRR092706.1_00581	ERR599017.17_00818
DRR092706.1_00581	ERR599046.13_00224
DRR092706.1_00581	ERR599056.13_00222
DRR092706.1_00581	ERR599103.13_00275
DRR092706.1_00581	ERR599174.6_00486
DRR092706.1_00581	ERR599236.12_00017
DRR092706.1_00581	ERR599240.6_00558
DRR092706.1_00583	DRR092706.1_00583
DRR092706.1_00583	ERR1726875.19_00635
DRR092706.1_00583	ERR4013358.13_00376
DRR092706.1_00583	ERR519454.28_00728
DRR092706.1_00583	ERR519458.6_00566
DRR092706.1_00583	ERR519462.64_00663
DRR092706.1_00583	ERR598996.53_00461
DRR092706.1_00583	ERR599046.13_00658
DRR092706.1_00583	ERR599056.13_00377
DRR092706.1_00583	ERR599174.6_00827
DRR092706.1_00583	ERR599236.12_00612
DRR092706.1_00584	DRR092706.1_00584
DRR092706.1_00584	ERR1726875.19_00634
DRR092706.1_00584	ERR4013358.13_00375
DRR092706.1_00584	ERR519454.28_00727
DRR092706.1_00584	ERR519458.6_00565
DRR092706.1_00584	ERR519462.64_00664
DRR092706.1_00584	ERR598996.53_00462
DRR092706.1_00584	ERR599046.13_00657
DRR092706.1_00584	ERR599056.13_00376
DRR092706.1_00584	ERR599174.6_00828
DRR092706.1_00584	ERR599236.12_00611
DRR092706.1_00586	DRR092706.1_00586
DRR092706.1_00591	DRR092706.1_00591
DRR092706.1_00591	ERR519454.28_00362
DRR092706.1_00591	ERR519458.6_00392
DRR092706.1_00591	ERR519462.64_00892
DRR092706.1_00591	ERR599103.13_00701
DRR092706.1_00591	ERR599170.2_00398
DRR092706.1_00592	DRR092706.1_00592
DRR092706.1_00592	ERR1726701.24_00200
DRR092706.1_00592	ERR519454.28_00363
