mOTU,taxo,motupan_w_ppan,motupan_w_roary,ppanggolin_persist,ppanggolin_shell,roary_core,roary_shell,nb_genomes,mean_completeness_ppan,mean_completeness_roary,mean_est_ppan_cogs,mean_est_roary_cogs,mean_scaff_count,type,genoms_ids
s__Burkholderia cenocepacia_B,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia_B,5801,5641,6036,603,4273,3167,27,96.48770390801076,96.2355216766137,6745.844779542977,6876.477352674331,111.22222222222223,gtdb,GB_GCA_000152565.1;GB_GCA_000498115.1;GB_GCA_001718515.1;RS_GCF_000014085.1;RS_GCF_000019505.1;RS_GCF_000203955.1;RS_GCF_000689555.1;RS_GCF_000689575.1;RS_GCF_000689595.1;RS_GCF_000783555.1;RS_GCF_001319805.1;RS_GCF_001992615.1;RS_GCF_001992625.1;RS_GCF_001992655.1;RS_GCF_001992675.1;RS_GCF_001992695.1;RS_GCF_001992705.1;RS_GCF_001992735.1;RS_GCF_001992755.1;RS_GCF_001993595.1;RS_GCF_001993615.1;RS_GCF_001999785.1;RS_GCF_001999825.1;RS_GCF_002007585.1;RS_GCF_002981045.1;RS_GCF_003076415.1;RS_GCF_900100915.1
s__Lactococcus lactis_E,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis_E,1724,1484,1816,507,1221,2366,38,99.0908780070827,98.12836572563484,2454.364511400147,2594.7027093762717,143.52631578947367,gtdb,GB_GCA_000447825.1;GB_GCA_000447965.1;RS_GCF_000009425.1;RS_GCF_000014545.1;RS_GCF_000143205.1;RS_GCF_000236475.1;RS_GCF_000312685.1;RS_GCF_000468955.1;RS_GCF_000534815.1;RS_GCF_000731635.1;RS_GCF_000805435.1;RS_GCF_000969475.1;RS_GCF_001005395.1;RS_GCF_001591705.1;RS_GCF_001622205.1;RS_GCF_001622215.1;RS_GCF_001622225.1;RS_GCF_001622285.1;RS_GCF_001622295.1;RS_GCF_001622315.1;RS_GCF_001622365.1;RS_GCF_001622375.1;RS_GCF_001622385.1;RS_GCF_001622405.1;RS_GCF_001645365.1;RS_GCF_001856165.1;RS_GCF_002078895.1;RS_GCF_002078915.1;RS_GCF_002078935.1;RS_GCF_002078955.1;RS_GCF_002441765.1;RS_GCF_002441825.1;RS_GCF_002563595.1;RS_GCF_900240855.1;RS_GCF_900240865.1;RS_GCF_900240885.1;RS_GCF_900240895.1;RS_GCF_900240905.1
s__Serratia nematodiphila,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia nematodiphila,4175,4073,4213,768,3919,1459,29,99.55207516002478,99.37269910343136,4756.224736359591,4800.580057760404,69.82758620689656,gtdb,GB_GCA_002325865.1;RS_GCF_000336425.1;RS_GCF_000342205.1;RS_GCF_000465615.2;RS_GCF_000695995.1;RS_GCF_000738675.1;RS_GCF_001034395.1;RS_GCF_001061145.1;RS_GCF_001062235.1;RS_GCF_001063125.1;RS_GCF_001063145.1;RS_GCF_001063175.1;RS_GCF_001064335.1;RS_GCF_001064345.1;RS_GCF_001064455.1;RS_GCF_001065405.1;RS_GCF_001076625.1;RS_GCF_001417865.2;RS_GCF_001975745.1;RS_GCF_002094145.1;RS_GCF_002108655.1;RS_GCF_002205475.1;RS_GCF_002265665.1;RS_GCF_002592035.1;RS_GCF_002762595.1;RS_GCF_002899335.1;RS_GCF_002915445.1;RS_GCF_002915475.1;RS_GCF_900101535.1
s__Pseudomonas_A stutzeri,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__Pseudomonas_A stutzeri,3517,3322,3667,627,657,3846,50,91.51975149274949,89.90126429861526,4259.4841429310745,4216.382855219408,110.8,gtdb,GB_GCA_002346755.1;GB_GCA_002439525.1;GB_GCA_002314405.1;GB_GCA_002362755.1;GB_GCA_002311715.1;GB_GCA_002388215.1;GB_GCA_002421085.1;GB_GCA_002296595.1;GB_GCA_002365145.1;RS_GCF_002027175.1;RS_GCF_000195105.1;RS_GCF_001062345.1;GB_GCA_002335105.1;GB_GCA_002380045.1;GB_GCA_002434415.1;GB_GCA_002358195.1;RS_GCF_001038645.1;GB_GCA_002413985.1;GB_GCA_002292085.1;RS_GCF_003008495.1;GB_GCA_002358225.1;RS_GCF_001705635.1;GB_GCA_002388145.1;GB_GCA_002455775.1;GB_GCA_002482365.1;GB_GCA_002378715.1;GB_GCA_002362825.1;GB_GCA_002387165.1;GB_GCA_002337845.1;GB_GCA_002307875.1;GB_GCA_003476425.1;GB_GCA_002338865.1;GB_GCA_002484325.1;RS_GCF_000416345.1;GB_GCA_002321095.1;GB_GCA_002440565.1;RS_GCF_000280555.1;GB_GCA_002338285.1;GB_GCA_002455935.1;GB_GCA_002389165.1;RS_GCF_000219605.1;GB_GCA_002473225.1;GB_GCA_002484245.1;GB_GCA_002378365.1;GB_GCA_002386665.1;GB_GCA_002320895.1;GB_GCA_002387495.1;RS_GCF_001064225.1;GB_GCA_002345265.1;RS_GCF_002093045.2
s__Pantoea agglomerans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans,3734,3633,3786,580,3521,1302,27,99.60046023527546,99.27091680174533,4487.8111669905475,4542.960268218253,48.96296296296296,gtdb,GB_GCA_002322165.1;RS_GCF_000220605.1;RS_GCF_000241285.1;RS_GCF_000475055.1;RS_GCF_000627115.1;RS_GCF_000687245.1;RS_GCF_000710215.1;RS_GCF_000731125.1;RS_GCF_000743785.2;RS_GCF_000757415.1;RS_GCF_000814075.1;RS_GCF_000952095.1;RS_GCF_001238615.1;RS_GCF_001264395.1;RS_GCF_001288285.1;RS_GCF_001597625.1;RS_GCF_001598475.1;RS_GCF_001661985.1;RS_GCF_001662025.1;RS_GCF_001709315.1;RS_GCF_002082355.1;RS_GCF_002157425.2;RS_GCF_002222515.1;RS_GCF_003149005.1;RS_GCF_003258435.1;RS_GCF_900068865.1;RS_GCF_900185875.1
s__Burkholderia contaminans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia contaminans,5487,4907,5999,1594,4718,5480,23,99.24810738425211,99.1455427472732,7563.7574570432025,7759.66025780124,73.26086956521739,gtdb,GB_GCA_000971495.1;RS_GCF_000987055.1;RS_GCF_000987075.1;RS_GCF_001029145.1;RS_GCF_001718575.1;RS_GCF_001719665.1;RS_GCF_001720405.1;RS_GCF_001758385.2;RS_GCF_001865715.1;RS_GCF_002223045.1;RS_GCF_002223055.1;RS_GCF_002223085.1;RS_GCF_002223095.1;RS_GCF_002223125.1;RS_GCF_002223135.1;RS_GCF_002223155.1;RS_GCF_002223205.1;RS_GCF_002223325.1;RS_GCF_002223365.1;RS_GCF_002270525.1;RS_GCF_002924455.1;RS_GCF_002980735.1;RS_GCF_002981225.1
s__Lactobacillus acetotolerans,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acetotolerans,927,800,1156,304,545,1166,21,95.11994657625726,94.55357142857143,1325.8090409615158,1376.7460746751904,108.57142857142857,gtdb,GB_GCA_001311725.1;GB_GCA_002316965.1;GB_GCA_002397045.1;GB_GCA_002397235.1;GB_GCA_002397875.1;GB_GCA_002399125.1;GB_GCA_002399375.1;GB_GCA_002400095.1;GB_GCA_002400285.1;GB_GCA_002408025.1;GB_GCA_002409205.1;GB_GCA_002410285.1;GB_GCA_002423975.1;GB_GCA_002424055.1;GB_GCA_002426715.1;GB_GCA_002427255.1;GB_GCA_003500645.1;GB_GCA_003539685.1;RS_GCF_001042405.1;RS_GCF_001436775.1;RS_GCF_001636155.1
s__Bog-375 sp003142185,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-375;s__Bog-375 sp003142185,4160,3672,4207,855,1479,4904,24,89.28970352564103,88.93691902686999,5243.982951429387,5305.885146059393,369.125,gtdb,GB_GCA_003135175.1;GB_GCA_003137155.1;GB_GCA_003138455.1;GB_GCA_003138995.1;GB_GCA_003141015.1;GB_GCA_003141975.1;GB_GCA_003142185.1;GB_GCA_003155955.1;GB_GCA_003156535.1;GB_GCA_003159545.1;GB_GCA_003159715.1;GB_GCA_003160185.1;GB_GCA_003160315.1;GB_GCA_003160875.1;GB_GCA_003161315.1;GB_GCA_003162795.1;GB_GCA_003163055.1;GB_GCA_003163135.1;GB_GCA_003163435.1;GB_GCA_003163535.1;GB_GCA_003163835.1;GB_GCA_003165775.1;GB_GCA_003166575.1;GB_GCA_003167885.1
s__Streptococcus mutans,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans,1570,1475,1582,273,1414,622,50,99.6271464968153,99.24701694915255,1807.1848306319403,1835.68380569159,92.40425531914893,gtdb,RS_GCF_000229725.1;RS_GCF_000228945.1;RS_GCF_000522785.1;RS_GCF_000522905.1;RS_GCF_000230025.1;RS_GCF_002083175.2;RS_GCF_000230045.1;RS_GCF_000339895.1;RS_GCF_000339515.1;RS_GCF_000339695.1;RS_GCF_002213005.1;RS_GCF_000347855.1;RS_GCF_000229665.1;RS_GCF_000340015.1;RS_GCF_000229945.1;RS_GCF_000339375.1;RS_GCF_000230125.1;RS_GCF_000229025.1;RS_GCF_000522705.1;RS_GCF_000229165.1;RS_GCF_000229985.1;RS_GCF_900475095.1;RS_GCF_000229465.1;RS_GCF_000339275.1;RS_GCF_000496555.1;RS_GCF_000347895.1;RS_GCF_000339835.1;RS_GCF_000229225.1;RS_GCF_000339115.1;RS_GCF_000522945.1;RS_GCF_000522765.1;RS_GCF_000230185.1;RS_GCF_000522825.1;RS_GCF_000229605.1;RS_GCF_000522585.1;RS_GCF_000230145.1;RS_GCF_000339335.1;RS_GCF_000230065.1;RS_GCF_000229205.1;RS_GCF_000230085.1;RS_GCF_000228905.1;RS_GCF_000817065.1;RS_GCF_001625005.1;RS_GCF_000229905.1;RS_GCF_000229765.1;RS_GCF_000230005.1;RS_GCF_000339075.1;RS_GCF_000347815.1;RS_GCF_000229445.1;RS_GCF_000522925.1
s__Acinetobacter radioresistens,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter radioresistens,2379,2212,2442,450,790,2681,50,94.53894325346783,90.96668354430379,2963.5018596191394,2913.4072448789766,105.27868852459017,gtdb,RS_GCF_000582235.1;GB_GCA_002386545.1;GB_GCA_002419905.1;GB_GCA_002307755.1;RS_GCF_000581035.1;RS_GCF_000581195.1;RS_GCF_000581215.1;GB_GCA_002298825.1;GB_GCA_002482195.1;GB_GCA_002429585.1;RS_GCF_000582925.1;RS_GCF_003006715.1;RS_GCF_000175675.1;RS_GCF_000682155.1;GB_GCA_002419765.1;GB_GCA_002387345.1;GB_GCA_002304865.1;RS_GCF_000580635.1;RS_GCF_000286595.1;RS_GCF_000972345.1;GB_GCA_002476915.1;RS_GCF_000368885.1;GB_GCA_002382245.1;GB_GCA_000248115.2;GB_GCA_002429935.1;GB_GCA_002331905.1;GB_GCA_003448515.1;RS_GCF_000162115.1;GB_GCA_002477355.1;GB_GCA_002421385.1;GB_GCA_002376585.1;GB_GCA_002367075.1;GB_GCA_002483505.1;RS_GCF_002993105.1;RS_GCF_003006735.1;GB_GCA_002387045.1;GB_GCA_003499805.1;GB_GCA_002325085.1;GB_GCA_002421025.1;GB_GCA_002434085.1;GB_GCA_002454705.1;GB_GCA_002438375.1;GB_GCA_002320955.1;GB_GCA_002381745.1;RS_GCF_002836895.1;GB_GCA_002435665.1;GB_GCA_002470045.1;GB_GCA_002471115.1;GB_GCA_002332475.1;RS_GCF_002834555.1
s__Leptospira interrogans,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira interrogans,3155,2761,3198,499,2485,2107,50,99.46457369255151,98.46594639623325,3751.2908664442302,3812.959087210643,242.03157894736842,gtdb,RS_GCF_000231175.1;RS_GCF_001567835.1;RS_GCF_000246535.1;RS_GCF_000217315.1;RS_GCF_000216495.1;RS_GCF_000216235.1;RS_GCF_000342865.1;RS_GCF_000216755.1;RS_GCF_001683775.1;GB_GCA_002269215.1;RS_GCF_001568985.1;RS_GCF_000216195.1;RS_GCF_000216635.1;RS_GCF_000243895.1;RS_GCF_001567725.1;RS_GCF_000216735.1;RS_GCF_001567735.1;RS_GCF_001567945.1;RS_GCF_001568775.1;RS_GCF_000217215.1;RS_GCF_000343345.1;RS_GCF_000216095.1;RS_GCF_000342745.1;RS_GCF_000612525.2;RS_GCF_001569125.1;RS_GCF_001568735.1;RS_GCF_001568205.1;RS_GCF_000216795.1;RS_GCF_000343495.1;RS_GCF_000343775.1;RS_GCF_001293065.1;RS_GCF_000217095.1;GB_GCA_001292615.2;RS_GCF_000343185.1;RS_GCF_000342825.1;RS_GCF_000243755.2;RS_GCF_000216675.1;RS_GCF_001568685.1;RS_GCF_001568135.1;RS_GCF_001568615.1;RS_GCF_000347135.1;RS_GCF_000246595.1;RS_GCF_000343305.1;RS_GCF_001567905.1;RS_GCF_000343145.1;RS_GCF_000243555.1;RS_GCF_001568535.1;RS_GCF_001568605.1;RS_GCF_001568105.1;RS_GCF_001568845.1
